NAME,CASES_LO,CASES_MU,CASES_HI,SIA_DOSES_LO,SIA_DOSES_MU,SIA_DOSES_HI,RI,OBR,SIA-NGA,SIA-NGAN,SIA-LKCHAD,SIA-U2,SIA-1Y,SIA-2Y,COST
experiment_cVDPV2_100km_base,8137,9368,10806,2,2,2,0,0,0,0,0,0,0,0,2
experiment_cVDPV2_100km_base_ri2027,581,2071,2851,18,18,18,1,0,0,0,0,0,0,0,70.5
experiment_cVDPV2_100km_base_obr2026,139,712,1835,37,93,146,0,1,0,0,0,0,0,0,93
experiment_cVDPV2_100km_base_obr2026_ri2027,170,301,649,59,83,106,1,1,0,0,0,0,0,0,135.5
experiment_cVDPV2_100km_base_sia01-NGA,133,1487,2347,162,162,163,0,0,1,0,0,0,1,0,162
experiment_cVDPV2_100km_base_sia01-NGA_ri2027,94,447,752,178,179,179,1,0,1,0,0,0,1,0,231.5
experiment_cVDPV2_100km_base_sia01u2-NGA,163,2868,3774,64,64,64,0,0,1,0,0,1,1,0,64
experiment_cVDPV2_100km_base_sia01u2-NGA_ri2027,135,722,1080,80,80,80,1,0,1,0,0,1,1,0,132.5
experiment_cVDPV2_100km_base_sia02-NGA,1292,3496,4545,98,98,98,0,0,1,0,0,0,0,1,98
experiment_cVDPV2_100km_base_sia02-NGA_ri2027,167,849,1201,114,114,115,1,0,1,0,0,0,0,1,166.5
experiment_cVDPV2_100km_base_sia02u2-NGA,3896,5199,6302,39,39,39,0,0,1,0,0,1,0,1,39
experiment_cVDPV2_100km_base_sia02u2-NGA_ri2027,194,1115,1567,55,56,56,1,0,1,0,0,1,0,1,108.5
experiment_cVDPV2_100km_base_sia01-NGAN,139,2373,4626,100,100,100,0,0,0,1,0,0,1,0,100
experiment_cVDPV2_100km_base_sia01-NGAN_ri2027,91,492,897,116,116,117,1,0,0,1,0,0,1,0,168.5
experiment_cVDPV2_100km_base_sia01u2-NGAN,1193,4289,6036,40,40,40,0,0,0,1,0,1,1,0,40
experiment_cVDPV2_100km_base_sia01u2-NGAN_ri2027,141,770,1288,56,56,56,1,0,0,1,0,1,1,0,108.5
experiment_cVDPV2_100km_base_sia02-NGAN,2698,5156,6566,61,61,61,0,0,0,1,0,0,0,1,61
experiment_cVDPV2_100km_base_sia02-NGAN_ri2027,173,949,1461,77,77,77,1,0,0,1,0,0,0,1,129.5
experiment_cVDPV2_100km_base_sia02u2-NGAN,4541,6531,7678,25,25,25,0,0,0,1,0,1,0,1,25
experiment_cVDPV2_100km_base_sia02u2-NGAN_ri2027,177,1245,1955,41,41,41,1,0,0,1,0,1,0,1,93.5
experiment_cVDPV2_100km_base_sia01-LKCHAD,113,853,1231,228,228,229,0,0,0,0,1,0,1,0,228
experiment_cVDPV2_100km_base_sia01-LKCHAD_ri2027,101,398,597,244,244,245,1,0,0,0,1,0,1,0,296.5
experiment_cVDPV2_100km_base_sia01u2-LKCHAD,199,1978,2811,89,90,90,0,0,0,0,1,1,1,0,90
experiment_cVDPV2_100km_base_sia01u2-LKCHAD_ri2027,132,637,955,106,106,106,1,0,0,0,1,1,1,0,158.5
experiment_cVDPV2_100km_base_sia02-LKCHAD,1319,2529,3391,137,138,138,0,0,0,0,1,0,0,1,138
experiment_cVDPV2_100km_base_sia02-LKCHAD_ri2027,130,761,1110,154,154,154,1,0,0,0,1,0,0,1,206.5
experiment_cVDPV2_100km_base_sia02u2-LKCHAD,3148,4382,5461,55,55,55,0,0,0,0,1,1,0,1,55
experiment_cVDPV2_100km_base_sia02u2-LKCHAD_ri2027,200,1088,1526,71,71,71,1,0,0,0,1,1,0,1,123.5
